Sum of Action_&_Adventure,Sum of Anime_Features,Sum of Anime_Series,Sum of British_TV_Shows,cast,Sum of Children_&_Family_Movies,Sum of Classic_&_Cult_TV,Sum of Classic_Movies,Sum of Comedies,country,Sum of Crime_TV_Shows,Sum of Cult_Movies,Year,Quarter,Month,Day,Sum of day_added,description,director,Sum of Documentaries,Sum of Docuseries,Sum of Dramas,duration,Sum of Faith_&_Spirituality,Sum of Horror_Movies,Sum of Independent_Movies,Sum of International_Movies,Sum of International_TV_Shows,Sum of Kids'_TV,Sum of Korean_TV_Shows,Sum of LGBTQ_Movies,listed_in,Sum of month_added,Sum of Movies,Sum of Music_&_Musicals,rating,Sum of Reality_TV,Sum of release_year,Sum of Romantic_Movies,Sum of Romantic_TV_Shows,Sum of Sci-Fi_&_Fantasy,Sum of Science_&_Nature_TV,Sum of Spanish-Language_TV_Shows,Sum of Sports_Movies,Sum of Stand-Up_Comedy,Sum of Stand-Up_Comedy_&_Talk_Shows,Sum of Teen_TV_Shows,Sum of Thrillers,title,Sum of TV_Action_&_Adventure,Sum of TV_Comedies,Sum of TV_Dramas,Sum of TV_Horror,Sum of TV_Mysteries,Sum of TV_Mysteries,Sum of TV_Mysteries,Sum of TV_Mysteries,Sum of TV_Sci-Fi_&_Fantasy,Sum of TV_Shows,Sum of TV_Thrillers,type,Sum of User_Rating,Sum of year_added
0,0,0,0,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Suhasini Mulay, Ahmed Khan",0,0,0,1,India,0,0,2019,Qtr 4,December,15,15,"Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them – until they each fall in love.",Farhan Akhtar,0,0,1,185 min,0,0,0,1,0,0,0,0,"Comedies, Dramas, International Movies",12,1,0,TV-14,0,2001,0,0,0,0,0,0,0,0,0,0,Dil Chahta Hai,0,0,0,0,0,0,0,0,0,0,0,Movie,66,2019
0,0,0,0,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana, Zaira Wasim, Suhani Bhatnagar, Ritwik Sahore",0,0,0,0,India,0,0,2017,Qtr 2,June,21,21,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.,Nitesh Tiwari,0,0,1,161 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Sports Movies",6,1,0,TV-PG,0,2016,0,0,0,0,0,1,0,0,0,0,Dangal,0,0,0,0,0,0,0,0,0,0,0,Movie,85,2017
1,0,0,0,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor, Paresh Rawal, Mehmood, Deven Verma, Jagdeep, Shakti Kapoor",0,0,0,1,India,0,1,2020,Qtr 2,May,11,11,"Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage.",Rajkumar Santoshi,0,0,0,160 min,0,0,0,0,0,0,0,0,"Action & Adventure, Comedies, Cult Movies",5,1,0,TV-14,0,1994,0,0,0,0,0,0,0,0,0,0,Andaz Apna Apna,0,0,0,0,0,0,0,0,0,0,0,Movie,31,2020
0,0,0,0,"Aamir Khan, Siddharth, Atul Kulkarni, Sharman Joshi, Kunal Kapoor, Alice Patten, Soha Ali Khan, Waheeda Rehman, Kiron Kher, Om Puri, Anupam Kher, Madhavan",0,0,0,0,India,0,0,2018,Qtr 3,August,2,2,An idealistic English filmmaker casts a group of student actors in her docudrama about India's revolution against British rule in the 1920s.,Rakeysh Omprakash Mehra,0,0,1,159 min,0,0,0,1,0,0,0,0,"Dramas, International Movies",8,1,0,TV-14,0,2006,0,0,0,0,0,0,0,0,0,0,Rang De Basanti,0,0,0,0,0,0,0,0,0,0,0,Movie,69,2018
0,0,0,0,"Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz, Keir O'Donnell, Matt Nable, Emily Jackson, Paul Vincent O'Connor, Natalija Nogulich, John Pirruccello, Mark Steger, Emjay Anthony, Karolina Wydra",0,0,0,0,United States,0,0,2020,Qtr 4,December,16,16,An unconventional demon hunter faces his greatest challenge when he steps inside the subconscious mind of a boy possessed by a powerful entity.,Brad Peyton,0,0,0,87 min,0,1,0,0,0,0,0,0,"Horror Movies, Thrillers",12,1,0,PG-13,0,2016,0,0,0,0,0,0,0,0,0,1,Incarnate,0,0,0,0,0,0,0,0,0,0,0,Movie,99,2020
1,0,0,0,"Aaron Eckhart, Liana Liberato, Olga Kurylenko, Garrick Hagon, Eric Godon, Yassine Fadel, Neil Napier, David Bark-Jones, Alexander Fehling, Nick Alachiotis, Jade Hassouné",0,0,0,0,"United States, Canada, Belgium, United Kingdom",0,0,2018,Qtr 1,February,4,4,A security expert and ex-CIA agent living in Belgium must go on the run with his estranged teen daughter when they're both marked for assassination.,Philipp Stölzl,0,0,0,105 min,0,0,0,0,0,0,0,0,Action & Adventure,2,0,0,R,0,2012,0,0,0,0,0,0,0,0,0,0,El último testigo,0,0,0,0,0,0,0,0,0,0,0,Movie,63,2018
1,0,0,0,"Aaron Eckhart, Michelle Rodriguez, Ramon Rodriguez, Bridget Moynahan, Ne-Yo, Michael Peña, Lucas Till, Cory Hardrict, Adetokumboh M'Cormack, Jim Parrack",0,0,0,0,United States,0,0,2021,Qtr 2,April,27,27,"Led by their skillful staff sergeant, a platoon of gutsy Marines fights to protect all humankind from astonishingly powerful aliens.",Jonathan Liebesman,0,0,0,116 min,0,0,0,0,0,0,0,0,"Action & Adventure, Sci-Fi & Fantasy",4,0,0,PG-13,0,2011,0,0,1,0,0,0,0,0,0,0,Battle: Los Angeles,0,0,0,0,0,0,0,0,0,0,0,Movie,84,2021
0,0,0,0,"Aaron Keogh, Molly Reisman, Dean Tardioli, Greg Wasylyszn, Adrian Murray, Kelly Paoli, Earl Oliveros, Hallie Burt",0,0,0,0,Canada,0,0,2018,Qtr 2,May,1,1,"Unable to pay bills and unwilling to change his slacker lifestyle, twentysomething Aaron hatches a defrauding scheme when he finds a lost credit card.",Adrian Murray,0,0,1,74 min,0,0,1,0,0,0,0,0,"Dramas, Independent Movies",5,1,0,TV-MA,0,2017,0,0,0,0,0,0,0,0,0,0,Withdrawn,0,0,0,0,0,0,0,0,0,0,0,Movie,78,2018
1,0,0,0,"Aaron Kwok, Lung Ti, Maggie Cheung, Chien-lien Wu, Paul Chun, Kenneth Tsang",0,0,0,0,Hong Kong,0,0,2018,Qtr 3,August,16,16,"While working at a family friend's business, a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties.",Johnnie To,0,0,0,83 min,0,0,0,1,0,0,0,0,"Action & Adventure, International Movies",8,1,0,TV-14,0,1993,0,0,0,0,0,0,0,0,0,0,The Bare-Footed Kid,0,0,0,0,0,0,0,0,0,0,0,Movie,58,2018
0,0,0,0,"Aaron Moorhead, Justin Benson, Callie Hernandez, Lew Temple, James Jordan, Tate Ellington",0,0,0,0,United States,0,0,2018,Qtr 3,September,19,19,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.","Justin Benson, Aaron Moorhead",0,0,0,112 min,0,0,1,0,0,0,0,0,"Independent Movies, Sci-Fi & Fantasy, Thrillers",9,1,0,TV-MA,0,2017,0,0,1,0,0,0,0,0,0,1,The Endless,0,0,0,0,0,0,0,0,0,0,0,Movie,73,2018
0,0,0,0,Aaron Paul,0,0,0,0,United States,0,0,2019,Qtr 4,October,11,11,"Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan, starring Aaron Paul.",Vince Gilligan,0,0,1,123 min,0,0,0,0,0,0,0,0,"Dramas, Thrillers",10,0,0,TV-MA,0,2019,0,0,0,0,0,0,0,0,0,1,El Camino: A Breaking Bad Movie,0,0,0,0,0,0,0,0,0,0,0,Movie,94,2019
0,0,0,0,"Aaron Paul, Annabelle Wallis, Garret Dillahunt, Chris Chalk, Zachary Knighton, Enver Gjokaj, Michael Kopsa, Terry Chen",0,0,0,0,"Canada, United States, United Kingdom",0,0,2019,Qtr 3,September,18,18,"When his photographer girlfriend vanishes, an L.A. graphic designer starts his own investigation and uncovers a web of deceit, crime and corruption.",Zack Whedon,0,0,1,112 min,0,0,0,0,0,0,0,0,"Dramas, Thrillers",9,0,0,R,0,2016,0,0,0,0,0,0,0,0,0,1,Come and Find Me,0,0,0,0,0,0,0,0,0,0,0,Movie,97,2019
0,0,0,0,"Aaron Paul, Emily Ratajkowski, Riccardo Scamarcio, Katy Louise Saunders, Alice Bellagamba",0,0,0,0,United States,0,0,2021,Qtr 2,June,2,2,"A couple rents a villa in Italy hoping to mend their bruised relationship, but the devilishly charming homeowner can’t seem to leave them alone.",George Ratliff,0,0,0,97 min,0,0,0,0,0,0,0,0,Thrillers,6,0,0,R,0,2018,0,0,0,0,0,0,0,0,0,1,Welcome Home,0,0,0,0,0,0,0,0,0,0,0,Movie,88,2021
1,0,0,0,"Aaron Paul, Lena Headey, Sean Bean, Adrian Bouchet, Liam Mulvey, Alexa Kahn, Todd Haberkorn, John DeMita, David Gant, Darin De Paul",0,0,0,0,"Japan, United States",0,0,2021,Qtr 2,April,1,1,King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.,Takeshi Nozue,0,0,0,116 min,0,0,0,0,0,0,0,0,"Action & Adventure, Sci-Fi & Fantasy",4,0,0,PG-13,0,2016,0,0,1,0,0,0,0,0,0,0,Kingsglaive: Final Fantasy XV,0,0,0,0,0,0,0,0,0,0,0,Movie,59,2021
0,0,0,0,"Aaron Pedersen, Alex Russell, Jacki Weaver, Cheng Pei-pei, David Gulpilil, Michelle Lim Davidson, David Wenham, Tommy Lewis, Tommy Caldwell",0,0,0,0,Australia,0,0,2018,Qtr 4,December,10,10,"In the Australian outback, an Indigenous cop on a missing persons case unearths a trafficking ring and runs afoul of political-industrial interests.",Ivan Sen,0,0,0,110 min,0,0,0,0,0,0,0,0,Thrillers,12,0,0,R,0,2016,0,0,0,0,0,0,0,0,0,1,Goldstone,0,0,0,0,0,0,0,0,0,0,0,Movie,56,2018
0,0,0,0,"Aaron Stanford, Teri Reeves, Sean Patrick Flanery, Forrest Fyre, Steven Michael Quezada, Paul Blott, Travis Hammer, Ryan Begay, Jermaine Washington, Vincent McDaniel",0,0,0,0,"United States, United Kingdom",0,0,2019,Qtr 2,April,24,24,"Kyle helps people disappear, but when a crazed killer starts hunting down his latest client, he has to decide what he's willing to do to keep her safe.",Adam Del Giudice,0,0,1,88 min,0,0,0,0,0,0,0,0,"Dramas, Thrillers",4,0,0,TV-MA,0,2017,0,0,0,0,0,0,0,0,0,1,Furthest Witness,0,0,0,0,0,0,0,0,0,0,0,Movie,44,2019
0,0,0,0,"Aaron Taylor-Johnson, Anne-Marie Duff, Kristin Scott Thomas, David Threlfall, Thomas Brodie-Sangster, David Morrissey, Sam Bell, Ophelia Lovibond, Josh Bolt, Andrew Buchan",0,0,0,0,"United Kingdom, Canada",0,0,2018,Qtr 2,April,14,14,"Raised by his aunt since he was a young boy, charismatic John Lennon is suddenly reunited with his mother, Julia, which ignites a bitter battle.",Sam Taylor-Johnson,0,0,1,99 min,0,0,0,0,0,0,0,0,Dramas,4,0,0,R,0,2009,0,0,0,0,0,0,0,0,0,0,Nowhere Boy,0,0,0,0,0,0,0,0,0,0,0,Movie,73,2018
0,0,0,0,"Abbey Lee, Ciarán Hinds, Carla Gugino, Matthew Beard, Dylan Baker",0,0,0,0,United States,0,0,2020,Qtr 3,August,1,1,"When a young newlywed enters the one chamber in her husband’s mansion that’s off-limits, she faces the horrifying consequences of defying the rules.",Sebastian Gutierrez,0,0,1,109 min,0,0,0,0,0,0,0,0,"Dramas, Sci-Fi & Fantasy",8,0,0,R,0,2019,0,0,1,0,0,0,0,0,0,0,Elizabeth Harvest,0,0,0,0,0,0,0,0,0,0,0,Movie,38,2020
0,0,0,0,"Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson, Charlotte Carel, Madeline Carel, Maya Erskine, Dawan Owens, Jen Tullock",0,0,0,0,United States,0,0,2018,Qtr 2,April,6,6,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,Marja Lewis Ryan,0,0,1,75 min,0,0,1,0,0,0,0,0,"Dramas, Independent Movies",4,1,0,TV-MA,0,2018,0,0,0,0,0,0,0,0,0,0,6 Balloons,0,0,0,0,0,0,0,0,0,0,0,Movie,51,2018
0,0,0,0,"Abbie Cornish, Andrea Riseborough, James D'Arcy, Oscar Isaac, Richard Coyle, David Harbour, James Fox, Judy Parfitt, Haluk Bilginer, Geoffrey Palmer, Natalie Dormer",0,0,0,0,United Kingdom,0,0,2020,Qtr 1,March,3,3,"This glossy ensemble drama juxtaposes the lives of famous divorcée Wallis Simpson and Wally Winthrop, a young 1990s housewife.",Madonna,0,0,1,119 min,0,0,0,0,0,0,0,0,"Dramas, Romantic Movies",3,1,0,R,0,2011,1,0,0,0,0,0,0,0,0,0,W.E.,0,0,0,0,0,0,0,0,0,0,0,Movie,81,2020
0,0,0,0,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin",0,0,0,0,"United Kingdom, Australia, France",0,0,2021,Qtr 3,September,2,2,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,Jane Campion,0,0,1,119 min,0,0,0,0,0,0,0,0,"Dramas, Romantic Movies",9,1,0,PG,0,2009,1,0,0,0,0,0,0,0,0,0,Bright Star,0,0,0,0,0,0,0,0,0,0,0,Movie,44,2021
1,0,0,0,"Abdramane Diakité, Mohamed Boudouh, Sébastien Houbani, Idir Azougli, Julien Meurice, Abdillah Assoumani, Jean-Toussaint Bernard, Romain Vissol",0,0,0,0,France,1,0,2021,Qtr 1,March,10,10,Tensions erupt when two filmmakers infiltrate an area ruled by gangs to shoot a music video for a rapper in this gritty found-footage series.,"Ange Basterga, Nicolas Lopez",0,0,0,1 Season,0,0,0,0,1,0,0,0,"Crime TV Shows, International TV Shows, TV Action & Adventure",3,0,0,TV-MA,0,2021,0,0,0,0,0,0,0,0,0,0,Dealer,1,0,0,0,0,0,0,0,0,1,0,TV Show,51,2021
0,0,0,0,"Abdulhussain Abdulredah, Ghanem Al-Saleh, Mariam Al-Ghadban, Dawood Hussain, Entesar Alsharah, Mohamed Gaber",0,0,0,1,Kuwait,0,0,2020,Qtr 2,May,21,21,"In this satirical play, a wealthy Kuwaiti businessman travels to London for pleasure and encounters a host of eccentric characters.",Almunsif Alsuwaisi,0,0,1,177 min,0,0,0,1,0,0,0,0,"Comedies, Dramas, International Movies",5,1,0,TV-14,0,1981,0,0,0,0,0,0,0,0,0,0,Bye Bye London,0,0,0,0,0,0,0,0,0,0,0,Movie,38,2020
0,0,0,0,"Abdulmohsen Al-Qaffas, Jamal Alradhan, Jassim Al Nabhan, Layla Abdullah, Khaled Al-Buraiki",0,0,0,1,Kuwait,0,0,2020,Qtr 2,May,14,14,"A socially conscious film director struggles with his career as he faces numerous obstacles, including his social media-friendly significant other.",Sadeq Behbehani,0,0,1,72 min,0,0,0,1,0,0,0,0,"Comedies, Dramas, International Movies",5,1,0,TV-PG,0,2018,0,0,0,0,0,0,0,0,0,0,Wedy Atkalam,0,0,0,0,0,0,0,0,0,0,0,Movie,63,2020
0,0,0,0,"Abhay Deol, Ayesha Takia, Apoorva Jha, Ayesha Jhulka, Rati Agnihotri, Sandhya Mridul, Suresh Oberoi, Manish Chaudhary",0,0,0,1,India,0,0,2018,Qtr 3,July,1,1,"An arranged marriage becomes a friendship for Viren and Aditi, who aren't in love – until they begin having unexpected feelings for each other.",Imtiaz Ali,0,0,0,137 min,0,0,0,1,0,0,0,0,"Comedies, International Movies, Romantic Movies",7,1,0,TV-14,0,2005,1,0,0,0,0,0,0,0,0,0,Socha Na Tha,0,0,0,0,0,0,0,0,0,0,0,Movie,99,2018
0,0,0,0,"Abhay Deol, Gul Panag, Raima Sen, Sarika, Kulbhushan Kharbanda, Vinay Pathak, Yana Gupta, Jogi, Brijendra Kala, Nawazuddin Siddiqui",0,0,0,0,India,0,0,2020,Qtr 3,September,28,28,"A government employee and aspiring crime writer, who is under investigation for corruption, is asked by a politician's wife to spy on her husband.",Navdeep Singh,0,0,1,129 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Thrillers",9,1,0,TV-14,0,2007,0,0,0,0,0,0,0,0,0,1,Manorama Six Feet Under,0,0,0,0,0,0,0,0,0,0,0,Movie,47,2020
0,0,0,0,"Abhay Deol, Mahie Gill, Kalki Koechlin, Sindbad Phgura, Ammo 'Too Sweet', Jimi the Quiff, Parakh Madan",0,0,0,0,India,0,0,2018,Qtr 4,October,1,1,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.",Anurag Kashyap,0,0,1,137 min,0,0,0,1,0,0,0,0,"Dramas, International Movies, Romantic Movies",10,1,0,TV-MA,0,2009,1,0,0,0,0,0,0,0,0,0,Dev.D,0,0,0,0,0,0,0,0,0,0,0,Movie,84,2018
0,0,0,0,"Abhay Deol, Mithila Palkar, Vijay Raaz",0,0,0,1,India,0,0,2019,Qtr 2,May,31,31,A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.,Sachin Yardi,0,0,1,101 min,0,0,1,0,0,0,0,0,"Comedies, Dramas, Independent Movies",5,1,0,TV-MA,0,2019,0,0,0,0,0,0,0,0,0,0,Chopsticks,0,0,0,0,0,0,0,0,0,0,0,Movie,35,2019
