Sum of Budget($),country,Year,Quarter,Month,Day,Genre,orig_lang,Sum of Revenue($),Sum of score,Title
118800000,AR,2006,Qtr 1,March,10,documentary," Spanish, Castilian",842846356,40,Porno
2500000,AR,2013,Qtr 3,July,18,"Animation, Adventure, Romance"," Spanish, Castilian",1392649,66,Underdogs
92400000,AR,2014,Qtr 4,October,12,"Drama, Crime"," Spanish, Castilian",781330535,77,The Boss: Anatomy of a Crime
59700000,AR,2016,Qtr 2,April,21,"Crime, Thriller"," Spanish, Castilian",406691548,71,At the End of the Tunnel
120000000,AR,2016,Qtr 2,May,19,"Drama, Romance"," Spanish, Castilian",303727773,63,The Red Thread
162100000,AR,2017,Qtr 4,October,5,"Romance, Drama"," Spanish, Castilian",437846475,59,Desire
667000,AR,2018,Qtr 2,April,19,"Drama, Mystery, Crime"," Spanish, Castilian",100216295,62,Perdida
75100000,AR,2018,Qtr 2,May,3,horror," Spanish, Castilian",636679839,66,Terrified
29211149.2,AR,2020,Qtr 1,January,16,"Comedy, Thriller, Crime"," Spanish, Castilian",7627100,78,The Heist of the Century
94100000,AR,2020,Qtr 2,April,23,"Thriller, Science Fiction"," Spanish, Castilian",542827557,67,Toxic
52600000,AR,2020,Qtr 4,December,4,"Horror, Mystery"," Spanish, Castilian",267726004,56,On the Third Day
98500000,AR,2021,Qtr 1,February,19,"Comedy, Drama, Family"," Spanish, Castilian",461099191,78,BIA: An Upside Down World
65200000,AR,2021,Qtr 1,March,18,"Thriller, Romance"," Spanish, Castilian",374539591,67,Amor Bandido
89000000,AR,2021,Qtr 4,December,2,horror," Spanish, Castilian",356423972,65,The Last Zombie
51400000,AR,2022,Qtr 1,January,27,"Thriller, Horror"," Spanish, Castilian",379851763,64,Echoes
115500000,AR,2022,Qtr 1,March,30,"Comedy, Drama"," Spanish, Castilian",365470598,64,All Hail
62100000,AR,2022,Qtr 2,April,21,documentary," Spanish, Castilian",534518567,77,The Photographer: Murder in Pinamar
101400000,AR,2022,Qtr 2,April,21,horror," Spanish, Castilian",531683246,69,Virus:32
115000000,AR,2022,Qtr 2,April,28,thriller," Spanish, Castilian",604531768,56,Targeted
88600000,AR,2022,Qtr 2,June,15,"Thriller, Drama"," Spanish, Castilian",365470598,64,The Wrath of God
78400000,AR,2022,Qtr 3,July,27,crime," Spanish, Castilian",935243953,55,Recurrence
41500000,AR,2022,Qtr 3,August,10,documentary," Spanish, Castilian",298690257,67,Bank Robbers: The Last Great Heist
138600000,AR,2022,Qtr 3,August,18,thriller," Spanish, Castilian",308041312,50,The Bush
94000000,AR,2022,Qtr 3,August,25,thriller," Spanish, Castilian",321279167,63,An Argentinian Crime
95240000,AR,2022,Qtr 3,September,8,comedy," Spanish, Castilian",570086135,70,Más respeto que soy tu madre
84800000,AR,2022,Qtr 3,September,21,"Comedy, Romance, Thriller"," Spanish, Castilian",543128899,76,Little Lies
5377753.2,AR,2022,Qtr 3,September,29,"Drama, History"," Spanish, Castilian",871621,80,"Argentina, 1985"
150000000,AR,2022,Qtr 3,September,29,"Thriller, Fantasy, Horror"," Spanish, Castilian",605259782,58,Don't Come Back Alive
100000000,AR,2022,Qtr 4,October,13,drama," Spanish, Castilian",369861964,71,Noise
110000000,AR,2022,Qtr 4,October,20,comedy," Spanish, Castilian",681644524,81,El gerente
100300000,AR,2022,Qtr 4,October,20,"Drama, Crime"," Spanish, Castilian",394284938,57,The Substitute
1800000,AR,2022,Qtr 4,November,5,drama," Spanish, Castilian",0,83,Sublime
122400000,AR,2022,Qtr 4,November,9,"Thriller, Horror"," Spanish, Castilian",344127932,55,The Last Heretic
87600000,AR,2022,Qtr 4,November,17,horror," Spanish, Castilian",817860944,43,Luz Mala
165600000,AR,2022,Qtr 4,December,1,"Thriller, Drama"," Spanish, Castilian",372589869,50,El lado salvaje
142500000,AR,2022,Qtr 4,December,7,"Romance, Comedy"," Spanish, Castilian",341774821,63,The Marriage App
85800000,AR,2022,Qtr 4,December,8,"Music, Documentary"," Spanish, Castilian",568195972,68,Just Love and a Thousand Songs
123240000,AR,2023,Qtr 1,January,5,"Fantasy, Horror, Comedy"," Spanish, Castilian",647667399,70,Legions
114200000,AR,2023,Qtr 1,January,19,comedy," Spanish, Castilian",241031717,60,The Tangalanga Method
201000000,AR,2023,Qtr 1,March,1,comedy," Spanish, Castilian",1569323844,100,El asistente
151860000,AR,2023,Qtr 2,April,6,thriller," Spanish, Castilian",485525698,80,La extorsión
106000000,AT,2007,Qtr 1,March,23,"Drama, War", German,144565535,73,The Counterfeiters
5000000,AT,2020,Qtr 1,January,10,"Action, Drama, Thriller", English,0,61,7500
5985,AU,1907,Qtr 2,June,20,"Adventure, Science Fiction", French,39962472,80,A Trip to the Moon
15000000,AU,1928,Qtr 2,April,7,"Drama, Science Fiction", German,1405032,82,Metropolis
1448864,AU,1930,Qtr 2,June,20,"Drama, War", English,3270000,78,All Quiet on the Western Front
1500000,AU,1938,Qtr 1,February,17,"Comedy, Drama", English,229549,83,Modern Times
1488000,AU,1938,Qtr 2,June,2,"Fantasy, Animation, Family", English,184925486,71,Snow White and the Seven Dwarfs
2033000,AU,1938,Qtr 3,September,15,"Adventure, Romance, History", English,3981000,75,The Adventures of Robin Hood
2777000,AU,1940,Qtr 2,April,18,"Adventure, Fantasy, Family", English,34949482,76,The Wizard of Oz
3900000,AU,1940,Qtr 2,May,1,"Drama, War, Romance", English,390525192,80,Gone with the Wind
60489247,AU,1940,Qtr 2,May,16,"Animation, Family", English,146342186,213,Pinocchio
800000,AU,1940,Qtr 2,May,22,drama, English,1591000,78,The Grapes of Wrath
2000000,AU,1941,Qtr 1,February,7,"Comedy, War", English,11000000,83,The Great Dictator
2280000,AU,1941,Qtr 3,August,15,"Animation, Family", English,83320832,74,Fantasia
839727,AU,1942,Qtr 1,January,23,"Mystery, Drama", English,23218000,80,Citizen Kane
170000000,AU,1942,Qtr 2,June,4,"Animation, Family", English,353166307,70,Dumbo
858000,AU,1943,Qtr 2,April,15,"Animation, Drama, Family", English,268000000,70,Bambi
375000,AU,1943,Qtr 2,May,7,"Mystery, Crime, Thriller", English,1772000,78,The Maltese Falcon
6873585.6,AU,1944,Qtr 1,February,10,"Animation, Family, Adventure", English,1135000,59,Saludos Amigos
927262,AU,1944,Qtr 4,December,1,"Crime, Drama, Mystery, Thriller", English,2500000,81,Double Indemnity
1039000,AU,1944,Qtr 4,December,8,"Drama, Romance", English,10564439,82,Casablanca
2068000,AU,1945,Qtr 1,February,15,"Thriller, Drama, Mystery, Crime", English,75334861,75,Gaslight
108000000,AU,1945,Qtr 4,November,24,"Drama, Romance", English,973912359,78,Brief Encounter
142000000,AU,1945,Qtr 4,December,6,"Animation, Family, Music", English,400881081,63,The Three Caballeros
2125000,AU,1947,Qtr 2,May,15,"Family, Animation", English,65000000,65,Song of the South
630000,AU,1947,Qtr 4,November,21,"Comedy, Drama, Family", English,2700000,74,Miracle on 34th Street
3180000,AU,1948,Qtr 1,February,6,"Drama, Family, Fantasy", English,9644124,83,It's a Wonderful Life
67560000,AU,1948,Qtr 2,May,27,"Animation, Family, Music", English,757864201,64,Fun and Fancy Free
28634530.2,AU,1950,Qtr 1,March,3,"Thriller, Mystery", English,1226098,80,The Third Man
95200000,AU,1950,Qtr 3,August,25,"Horror, Fantasy, Animation, Family", English,686675747,65,The Adventures of Ichabod and Mr. Toad
1752000,AU,1950,Qtr 3,September,29,drama, English,5000000,84,Sunset Boulevard
97900000,AU,1950,Qtr 4,October,13,"Family, Fantasy, Animation, Romance", English,805942768,140,Cinderella
133000,AU,1950,Qtr 4,November,3,drama, Italian,436655,82,Bicycle Thieves
1400000,AU,1951,Qtr 3,July,11,drama, English,8400000,82,All About Eve
71200000,AU,1951,Qtr 4,December,14,"Fantasy, Drama", English,545002797,74,Scrooge
203000000,AU,1951,Qtr 4,December,21,"Animation, Family, Fantasy, Adventure", English,1025491110,144,Alice in Wonderland
180000000,AU,1952,Qtr 1,January,1,"Drama, Fantasy, Romance", French,1707354326,150,Beauty and the Beast
250000,AU,1952,Qtr 1,March,20,"Crime, Drama, Mystery", Japanese,96568,81,Rashomon
2540000,AU,1952,Qtr 4,December,25,"Comedy, Music, Romance, Drama", English,7241009,82,Singin' in the Rain
1500000,AU,1953,Qtr 3,September,2,"Romance, Comedy, Drama", English,12000000,79,Roman Holiday
104000000,AU,1953,Qtr 4,October,15,"Animation, Family, Adventure, Fantasy", English,182655485,144,Peter Pan
2000000,AU,1954,Qtr 1,March,11,"Science Fiction, Action", English,257720413,68,The War of the Worlds
58000000,AU,1955,Qtr 1,March,17,"Comedy, Drama, Romance", English,87100000,75,Sabrina
1400000,AU,1955,Qtr 2,April,20,"Crime, Thriller", English,3000000,80,Dial M for Murder
1000000,AU,1955,Qtr 2,June,23,"Thriller, Mystery", English,37034514,84,Rear Window
5200000,AU,1955,Qtr 4,December,29,"Adventure, Drama, Family, Fantasy, Science Fiction, Action", English,36200000,142,"20,000 Leagues Under the Sea"
2000000,AU,1956,Qtr 1,January,1,"Action, Drama", Japanese,346300,85,Seven Samurai
60000000,AU,1956,Qtr 1,February,22,"Family, Animation, Romance", English,0,71,Lady and the Tramp
1500000,AU,1956,Qtr 4,October,25,drama, English,199963,76,Rebel Without a Cause
1900000,AU,1957,Qtr 1,January,10,Science Fiction, English,3250000,73,Forbidden Planet
5400000,AU,1957,Qtr 2,June,6,"Drama, Western", English,32855818,76,Giant
340000,AU,1957,Qtr 4,October,10,drama, English,379,85,12 Angry Men
3000000,AU,1957,Qtr 4,December,2,"Drama, History, War", English,33300000,78,The Bridge on the River Kwai
935000,AU,1958,Qtr 2,April,26,"Drama, War", English,69530233,83,Paths of Glory
23500000,AU,1958,Qtr 4,December,12,"Drama, History", English,86485836,156,The Ten Commandments
2479000,AU,1959,Qtr 1,January,23,"Mystery, Romance, Thriller", English,7797728,82,Vertigo
2883848,AU,1959,Qtr 4,October,15,"Comedy, Music, Romance, Crime", English,25000000,81,Some Like It Hot
4000000,AU,1959,Qtr 4,November,27,"Mystery, Thriller", English,13275000,80,North by Northwest
6000000,AU,1959,Qtr 4,December,23,"Fantasy, Animation, Romance, Family", English,51600000,69,Sleeping Beauty
110000000,AU,1960,Qtr 2,May,12,"Action, Drama, History", English,164928665,158,Ben-Hur
80000000,AU,1960,Qtr 3,August,17,"Thriller, Adventure, Fantasy, Science Fiction, Romance", English,98983590,74,The Time Machine
961023.8,AU,1960,Qtr 3,August,24,"Comedy, Drama", Italian,19647000,82,La Dolce Vita
20000000,AU,1960,Qtr 3,September,21,"Horror, Drama, Thriller", English,37226218,84,Psycho
4000000,AU,1961,Qtr 2,April,13,"Western, Drama, Action, Romance", English,8200000,69,The Misfits
4000000,AU,1961,Qtr 4,October,8,"Adventure, Animation, Comedy, Family", English,85000000,72,One Hundred and One Dalmatians
6000000,AU,1961,Qtr 4,October,27,"War, Action", English,28900000,73,The Guns of Navarone
2500000,AU,1962,Qtr 1,February,8,"Comedy, Romance", English,9500000,77,Breakfast at Tiffany's
6250000,AU,1962,Qtr 1,March,30,"Action, Drama, History, Romance, War", English,257720413,68,El Cid
35000000,AU,1962,Qtr 3,July,20,"Drama, Thriller", English,182291969,74,Cape Fear
15000000,AU,1963,Qtr 1,January,10,"Adventure, Drama, History, War", English,69995047,80,Lawrence of Arabia
1000000,AU,1963,Qtr 2,May,6,"Adventure, Action, Thriller", English,59567035,70,Dr. No
2000000,AU,1963,Qtr 2,May,31,drama, English,13129846,80,To Kill a Mockingbird
4000000,AU,1963,Qtr 3,August,20,"Adventure, Drama, History, Thriller, War", English,11972799,79,The Great Escape
42000000,AU,1963,Qtr 4,December,6,"Drama, History, Romance", English,71000000,71,Cleopatra
2500000,AU,1964,Qtr 1,January,2,"Action, Thriller, Adventure", English,78900000,71,From Russia with Love
80000000,AU,1964,Qtr 1,January,8,"Comedy, Crime", English,158926474,69,The Pink Panther
3000000,AU,1964,Qtr 2,April,15,"Animation, Family", English,22182353,73,The Sword in the Stone
107800000,AU,1964,Qtr 2,April,23,"Comedy, Drama, Music, Romance", English,422211451,63,Viva Las Vegas
1800000,AU,1964,Qtr 2,June,12,"Drama, Comedy, War", English,9523464,81,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
16000000,AU,1964,Qtr 3,August,20,"Action, Drama, History, War", English,1844228,74,Zulu
2135000,AU,1964,Qtr 3,September,11,"Crime, Drama, Mystery, Romance, Thriller", English,7000000,72,Marnie
9400000,AU,1964,Qtr 4,December,3,"Action, Adventure, Comedy", English,60000000,70,"It's a Mad, Mad, Mad, Mad World"
3000000,AU,1965,Qtr 1,January,2,"Adventure, Action, Thriller", English,124900000,74,Goldfinger
8200000,AU,1965,Qtr 2,May,29,"Drama, Family, Music, Romance", English,286213504,77,The Sound of Music
135800000,AU,1965,Qtr 2,May,31,drama, Japanese,936544994,82,Tokyo Story
6000000,AU,1965,Qtr 3,August,23,"Comedy, Family, Fantasy", English,102296470,76,Mary Poppins
9000000,AU,1966,Qtr 1,January,26,"Adventure, Action, Thriller", English,141200000,66,Thunderball
11000000,AU,1966,Qtr 2,May,5,"Drama, Romance, War", English,112040388,76,Doctor Zhivago
10000000,AU,1966,Qtr 4,November,17,"Drama, History", English,4000000,71,The Agony and the Ecstasy
4653000,AU,1967,Qtr 2,June,30,"Western, Adventure, Action, Romance", English,6000000,74,El Dorado
35000000,AU,1967,Qtr 3,August,25,"Action, Comedy, Crime", English,411348924,63,Batman
5400000,AU,1967,Qtr 4,October,21,"Action, Adventure, War", English,45300000,76,The Dirty Dozen
9500000,AU,1967,Qtr 4,December,14,"Action, Thriller, Adventure", English,111600000,66,You Only Live Twice
2500000,AU,1967,Qtr 4,December,19,"Crime, Drama", English,50700128,75,Bonnie and Clyde
71500000,AU,1967,Qtr 4,December,21,"Comedy, Family, Fantasy", English,294156605,62,Doctor Dolittle
2000000,AU,1968,Qtr 1,March,1,"Crime, Drama, Mystery, Thriller", English,24407647,77,In the Heat of the Night
3200000,AU,1968,Qtr 1,March,29,"Crime, Drama", English,16217773,77,Cool Hand Luke
10500000,AU,1968,Qtr 2,May,2,"Science Fiction, Mystery, Adventure", English,71801274,81,2001: A Space Odyssey
4000000,AU,1968,Qtr 3,August,1,"Drama, Comedy", English,56666667,76,Guess Who's Coming to Dinner
3000000,AU,1968,Qtr 3,August,22,"Comedy, Drama, Romance", English,104945305,77,The Graduate
9000000,AU,1968,Qtr 4,October,17,"Science Fiction, Adventure", English,0,60,Barbarella
157000000,AU,1968,Qtr 4,November,23,"Animation, Family, TV Movie", English,334738383,74,Rudolph the Red-Nosed Reindeer
7700000,AU,1968,Qtr 4,December,4,"Action, Adventure, War", English,21000000,76,Where Eagles Dare
202000000,AU,1968,Qtr 4,December,18,"Family, Animation, Adventure", English,997878777,146,The Jungle Book
10000000,AU,1968,Qtr 4,December,19,"Family, Music, Adventure, Fantasy, Comedy", English,253136524,68,Chitty Chitty Bang Bang
39800000,AU,1969,Qtr 1,February,22,"Comedy, Family, Fantasy", English,51264022,65,The Love Bug
48000000,AU,1969,Qtr 2,June,1,"Crime, Drama, Romance, Thriller", English,124304264,69,The Thomas Crown Affair
1200000,AU,1969,Qtr 3,July,31,Western, Italian,25253887,85,"The Good, the Bad and the Ugly"
400000,AU,1969,Qtr 3,September,20,"Adventure, Drama", English,60000000,71,Easy Rider
60000000,AU,1969,Qtr 4,October,2,"Action, Crime, Comedy, Thriller", English,176262839,70,The Italian Job
6000000,AU,1969,Qtr 4,November,28,Western, English,509424,77,The Wild Bunch
8000000,AU,1969,Qtr 4,December,18,"Adventure, Action, Thriller", English,82000000,66,On Her Majesty's Secret Service
5000000,AU,1970,Qtr 1,February,12,"Drama, Western", Italian,5380513,83,Once Upon a Time in the West
6000000,AU,1970,Qtr 1,March,5,"Western, Drama, Crime", English,102311313,76,Butch Cassidy and the Sundance Kid
1800000,AU,1970,Qtr 2,June,11,Western, English,6800000,68,Hang 'em High
3500000,AU,1970,Qtr 3,July,23,"Comedy, Drama, War", English,81600000,70,M*A*S*H
4000000,AU,1970,Qtr 3,September,10,"Adventure, Comedy, War", English,5200000,74,Kelly's Heroes
777000,AU,1971,Qtr 1,March,11,"Science Fiction, Action, Drama", English,2437000,65,THX 1138
4000000,AU,1971,Qtr 3,August,5,"Animation, Comedy, Family, Adventure", English,55675257,73,The Aristocats
9000000,AU,1971,Qtr 4,November,11,"Drama, Romance", English,80501127,77,Fiddler on the Roof
20000000,AU,1971,Qtr 4,December,7,"Adventure, Fantasy, Comedy, Family, Music", English,17900000,70,Bedknobs and Broomsticks
3000000,AU,1971,Qtr 4,December,9,"Family, Fantasy, Comedy", English,4065791,75,Willy Wonka & the Chocolate Factory
7200000,AU,1971,Qtr 4,December,28,"Adventure, Action, Thriller", English,115999985,64,Diamonds Are Forever
2200000,AU,1972,Qtr 1,February,10,"Science Fiction, Drama", English,26589000,82,A Clockwork Orange
2200000,AU,1972,Qtr 1,March,9,"Action, Crime, Thriller", English,41159421,75,The French Connection
1100000,AU,1972,Qtr 1,March,9,"Adventure, Science Fiction", English,0,64,Silent Running
4000000,AU,1972,Qtr 2,April,27,"Action, Crime, Thriller", English,35976000,75,Dirty Harry
7000000,AU,1972,Qtr 4,November,2,"Drama, Crime", English,270007394,87,The Godfather
2000000,AU,1972,Qtr 4,November,23,"Drama, Adventure, Thriller", English,46122355,73,Deliverance
450000,AU,1973,Qtr 2,April,6,"Action, Thriller, TV Movie", English,32929890,74,Duel
5500000,AU,1973,Qtr 2,June,1,"Western, Drama, Mystery", English,15700000,74,High Plains Drifter
100000,AU,1973,Qtr 3,July,1,"Drama, Action, Thriller", Chinese,70504268,73,Fist of Fury
60600000,AU,1973,Qtr 3,July,30,"Science Fiction, Thriller", English,3600000,69,Soylent Green
8650000,AU,1973,Qtr 3,August,1,"Action, Thriller", English,16056255,75,The Day of the Jackal
7000000,AU,1973,Qtr 3,August,1,"Adventure, Action, Thriller", English,161800000,65,Live and Let Die
10000000,AU,1973,Qtr 4,November,1,action, English,21485066,74,Enter the Dragon
104800000,AU,1973,Qtr 4,November,21,"Adventure, Science Fiction, Western", English,316773344,68,Westworld
26730400,AU,1973,Qtr 4,December,26,"Drama, Crime, Action", English,39768000,71,Magnum Force
7000000,AU,1974,Qtr 1,January,1,"Action, Drama, Thriller", English,79700000,61,Earthquake
13500000,AU,1974,Qtr 1,January,1,"Crime, Drama", English,53292989,79,Papillon
2600000,AU,1974,Qtr 1,February,7,"Western, Comedy", English,119500000,73,Blazing Saddles
5500000,AU,1974,Qtr 2,April,5,"Comedy, Crime, Drama", English,159616327,80,The Sting
777000,AU,1974,Qtr 2,April,25,"Comedy, Drama", English,140000000,70,American Graffiti
3000000,AU,1974,Qtr 2,June,6,"Crime, History, Drama", English,27274150,75,Serpico
1600000,AU,1974,Qtr 3,July,19,"Crime, Drama, Mystery", English,4574909,75,The Conversation
7000000,AU,1974,Qtr 4,December,1,"Adventure, Action, Thriller", English,97600000,64,The Man with the Golden Gun
15102000,AU,1974,Qtr 4,December,19,"Romance, Comedy, Family, Fantasy", English,38229000,61,Herbie Rides Again
6000000,AU,1974,Qtr 4,December,20,"Crime, Drama, Mystery, Thriller", English,23169837,79,Chinatown
30000000,AU,1975,Qtr 1,January,10,"Crime, Drama, Action", English,48575965,69,Death Wish
13000000,AU,1975,Qtr 1,February,20,"Drama, Crime", English,102600000,86,The Godfather Part II
14000000,AU,1975,Qtr 1,March,27,"Action, Drama, Thriller", English,116000000,70,The Towering Inferno
121200000,AU,1975,Qtr 2,June,6,"Romance, Drama", English,577402666,67,Mandingo
400000,AU,1975,Qtr 3,August,14,"Adventure, Comedy, Fantasy", English,5028948,78,Monty Python and the Holy Grail
2800000,AU,1975,Qtr 3,August,28,comedy, English,86300489,79,Young Frankenstein
12000000,AU,1975,Qtr 4,November,26,"Horror, Thriller, Adventure", English,482947378,77,Jaws
5000000,AU,1975,Qtr 4,December,4,"Mystery, Comedy, Crime", English,41833347,68,The Return of the Pink Panther
1200000,AU,1975,Qtr 4,December,18,"Comedy, Science Fiction, Fantasy, Horror", English,2318156,75,The Rocky Horror Picture Show
1800000,AU,1975,Qtr 4,December,18,"Crime, Drama, Thriller", English,46665856,78,Dog Day Afternoon
4400000,AU,1976,Qtr 2,April,1,drama, English,163274115,84,One Flew Over the Cuckoo's Nest
8500000,AU,1976,Qtr 2,June,9,"Drama, History, Mystery, Thriller", English,70600000,77,All the President's Men
1900000,AU,1976,Qtr 3,August,5,"Crime, Drama", English,28447834,82,Taxi Driver
100000000,AU,1976,Qtr 3,September,18,"Action, Drama, History, War", English,126815030,66,Midway
923000,AU,1976,Qtr 4,October,1,"Adventure, Comedy, Drama", English,4000000,80,The Gold Rush
3800000,AU,1976,Qtr 4,December,1,drama, English,23689877,79,Network
7000000,AU,1976,Qtr 4,December,30,"Action, Science Fiction", English,25000000,66,Logan's Run
6000000,AU,1977,Qtr 1,January,2,"Comedy, Crime", English,33833201,68,The Pink Panther Strikes Again
9000000,AU,1977,Qtr 1,January,20,"Action, Crime, Thriller", English,46236000,68,The Enforcer
6500000,AU,1977,Qtr 1,February,10,thriller, English,21709020,72,Marathon Man
1000000,AU,1977,Qtr 1,March,17,"Drama, Romance", English,225000000,78,Rocky
4300000,AU,1977,Qtr 3,July,1,"Action, Adventure, Comedy", English,126737428,69,Smokey and the Bandit
26000000,AU,1977,Qtr 3,July,1,"Drama, History, War", English,50800000,72,A Bridge Too Far
14000000,AU,1977,Qtr 3,July,19,"Adventure, Action, Thriller", English,185400000,68,The Spy Who Loved Me
6000000,AU,1977,Qtr 4,October,1,"Drama, Music, Romance", English,80000000,60,A Star Is Born
11000000,AU,1977,Qtr 4,October,26,"Adventure, Action, Science Fiction", English,775398007,82,Star Wars
185260000,AU,1977,Qtr 4,November,1,"Drama, Thriller, Adventure", French,791480522,80,The Wages of Fear
59000000,AU,1977,Qtr 4,December,26,"Animation, Family", English,590853673,73,The Many Adventures of Winnie the Pooh
1200000,AU,1977,Qtr 4,December,29,"Fantasy, Family, Animation, Adventure", English,71215869,68,The Rescuers
20000000,AU,1978,Qtr 1,January,27,"Science Fiction, Drama", English,340800479,74,Close Encounters of the Third Kind
10000000,AU,1978,Qtr 2,April,13,"Fantasy, Animation, Comedy, Family", English,268973915,64,Pete's Dragon
3500000,AU,1978,Qtr 2,April,13,"Music, Drama", English,237113184,67,Saturday Night Fever
12000000,AU,1978,Qtr 2,June,27,"Action, Comedy", English,45000000,63,Convoy
2700000,AU,1978,Qtr 3,July,27,comedy, English,141000000,70,Animal House
5000000,AU,1978,Qtr 3,July,27,"Drama, Action, Thriller, Science Fiction", English,401,68,Capricorn One
11600000,AU,1978,Qtr 4,December,1,action, English,9884149,69,The Wild Geese
2300000,AU,1978,Qtr 4,December,7,"Drama, Crime", English,35000000,75,Midnight Express
55000000,AU,1978,Qtr 4,December,21,"Science Fiction, Action, Adventure", English,300200000,71,Superman
5000000,AU,1978,Qtr 4,December,30,"Action, Comedy, Adventure, Romance, Drama", English,85196485,62,Every Which Way but Loose
70000000,AU,1979,Qtr 1,January,1,"", English,461630558,65,Cars
15000000,AU,1979,Qtr 1,February,22,"Drama, War", English,50065119,80,The Deer Hunter
200000,AU,1979,Qtr 2,April,12,"Adventure, Action, Thriller, Science Fiction", English,99750000,67,Mad Max
25325000,AU,1979,Qtr 2,June,1,"Horror, Thriller", English,403204490,228,Halloween
8000000,AU,1979,Qtr 3,July,1,"Comedy, Adventure, Music, Family", English,76657000,71,The Muppet Movie
31000000,AU,1979,Qtr 3,August,2,"Action, Adventure, Thriller, Science Fiction", English,210300000,61,Moonraker
7000000,AU,1979,Qtr 4,November,1,drama, English,85182160,72,Rocky II
31500000,AU,1979,Qtr 4,November,15,"Drama, War", English,85960957,83,Apocalypse Now
4000000,AU,1979,Qtr 4,November,22,comedy, English,20522496,78,Life of Brian
8000000,AU,1979,Qtr 4,December,6,"Drama, Thriller", English,43000000,75,Escape from Alcatraz
10700000,AU,1979,Qtr 4,December,6,"Horror, Science Fiction", English,184638105,81,Alien
35000000,AU,1979,Qtr 4,December,21,"Science Fiction, Adventure, Mystery", English,139000000,65,Star Trek: The Motion Picture
100000,AU,1980,Qtr 1,January,1,"Fantasy, Horror", English,7097971,74,Eraserhead
7000000,AU,1980,Qtr 1,January,17,"Comedy, Romance", English,74865517,56,10
4000000,AU,1980,Qtr 1,March,7,"Adventure, Animation, Fantasy", English,30471420,66,The Lord of the Rings
8000000,AU,1980,Qtr 1,March,13,drama, English,106260000,76,Kramer vs. Kramer
18000000,AU,1980,Qtr 2,May,21,"Adventure, Action, Science Fiction", English,538400000,84,The Empire Strikes Back
112200000,AU,1980,Qtr 2,June,5,"Adventure, Horror, Mystery, Thriller", English,973467314,54,Death Ship
4000000,AU,1980,Qtr 2,June,6,comedy, English,100000000,69,The Jerk
17550000,AU,1980,Qtr 2,June,12,horror, English,152424838,128,Friday the 13th
18000000,AU,1980,Qtr 3,August,1,"Drama, Music", English,80227619,65,Fame
6000000,AU,1980,Qtr 3,August,21,comedy, English,39849764,66,Caddyshack
12000000,AU,1980,Qtr 3,September,9,"War, Action, Science Fiction", English,16647800,66,The Final Countdown
27000000,AU,1980,Qtr 4,October,10,"Music, Comedy, Action, Crime", English,57245093,77,The Blues Brothers
7600000,AU,1980,Qtr 4,October,30,horror, English,12000000,70,The Changeling
19000000,AU,1980,Qtr 4,November,13,"Horror, Thriller", English,45613093,82,The Shining
4500000,AU,1980,Qtr 4,November,27,"Romance, Adventure", English,47923795,62,The Blue Lagoon
17000000,AU,1980,Qtr 4,November,28,"Action, Comedy", English,66132626,56,Smokey and the Bandit II
54000000,AU,1980,Qtr 4,December,4,"Science Fiction, Action, Adventure", English,190400000,67,Superman II
3500000,AU,1980,Qtr 4,December,12,comedy, English,83453539,73,Airplane!
2000000,AU,1980,Qtr 4,December,26,"Science Fiction, Action, Adventure", English,11000000,53,Battle Beyond the Stars
15000000,AU,1980,Qtr 4,December,30,"Action, Adventure, Comedy", English,70687344,58,Any Which Way You Can
5000000,AU,1981,Qtr 1,January,16,"Drama, History", English,26024614,81,The Elephant Man
18000000,AU,1981,Qtr 1,February,26,"Drama, History", English,23415259,80,Raging Bull
35000000,AU,1981,Qtr 2,April,16,"Science Fiction, Adventure, Fantasy, Action, Comedy", English,27176976,62,Flash Gordon
20000000,AU,1981,Qtr 2,May,7,"Action, Adventure, Comedy, Family", English,49823037,54,Popeye
28000000,AU,1981,Qtr 3,July,1,"Adventure, Action, Thriller", English,195300000,65,For Your Eyes Only
11000000,AU,1981,Qtr 3,July,2,"Adventure, Fantasy", English,34967437,70,Excalibur
17500000,AU,1981,Qtr 3,July,16,"Drama, History, Romance", English,23438120,60,Caligula
15000000,AU,1981,Qtr 3,July,24,"Horror, Science Fiction, Thriller", English,19853892,67,Altered States
20000000,AU,1981,Qtr 3,August,14,"Adventure, Action", English,367451914,79,Raiders of the Lost Ark
140000000,AU,1981,Qtr 3,August,21,"Action, Adventure, Fantasy, Romance", English,537614888,138,Clash of the Titans
10000000,AU,1981,Qtr 3,September,1,"Horror, Comedy", English,31973249,74,An American Werewolf in London
5500000,AU,1981,Qtr 3,September,24,"Drama, History", English,61910507,68,Chariots of Fire
6000000,AU,1981,Qtr 4,October,1,"Science Fiction, Action", English,25275289,71,Escape from New York
37595000,AU,1981,Qtr 4,December,3,"Drama, Romance", English,2689068,65,The French Lieutenant's Woman
10000000,AU,1981,Qtr 4,December,10,"Action, Comedy", English,85300000,65,Stripes
12000000,AU,1981,Qtr 4,December,11,"Family, Fantasy, Science Fiction, Adventure, Comedy", English,37400000,66,Time Bandits
2000000,AU,1981,Qtr 4,December,24,"Adventure, Action, Thriller, Science Fiction", English,24600832,74,Mad Max 2
