Sum of budget,country,genre,language,Year,Quarter,Month,Day,Sum of revenue,Sum of score,title
112200000,AU,"Adventure, Horror, Mystery, Thriller", English,1980,Qtr 2,June,5,973467314,54,Death Ship
45000000,AU,"Adventure, Horror, Thriller", English,1997,Qtr 3,July,3,136998907,52,Anaconda
21000000,AU,"Adventure, Mystery, Comedy, Crime", English,2020,Qtr 3,September,23,95194068.4,73,Enola Holmes
2033000,AU,"Adventure, Romance, History", English,1938,Qtr 3,September,15,3981000,75,The Adventures of Robin Hood
1100000,AU,"Adventure, Science Fiction", English,1972,Qtr 1,March,9,0,64,Silent Running
63000000,AU,"Adventure, Science Fiction", English,1993,Qtr 3,September,2,1045573035,79,Jurassic Park
100000000,AU,"Adventure, Science Fiction", English,2018,Qtr 4,December,6,85481904,62,Mortal Engines
116000000,AU,"Adventure, Science Fiction", English,2022,Qtr 1,March,11,203098455.6,71,The Adam Project
5985,AU,"Adventure, Science Fiction", French,1907,Qtr 2,June,20,39962472.4,80,A Trip to the Moon
15000000,AU,"Adventure, Science Fiction, Action", English,1984,Qtr 4,December,13,28733290,66,The Last Starfighter
151000000,AU,"Adventure, Science Fiction, Action", English,2007,Qtr 2,June,28,708272592,68,Transformers
9000000,AU,"Adventure, Science Fiction, Action", English,2008,Qtr 3,September,29,63503309.4,47,Starship Troopers 3: Marauder
180000000,AU,"Adventure, Science Fiction, Action", English,2017,Qtr 3,August,10,215098356,66,Valerian and the City of a Thousand Planets
400000000,AU,"Adventure, Science Fiction, Action", English,2019,Qtr 2,April,24,2794731755,83,Avengers: Endgame
70000000,AU,"Adventure, Science Fiction, Action, Horror", English,2004,Qtr 3,September,30,177427090,59,AVP: Alien vs. Predator
110000000,AU,"Adventure, Science Fiction, Action, Mystery", English,2016,Qtr 2,April,14,179246868,61,Allegiant
12400000,AU,"Adventure, Science Fiction, Animation, Fantasy, Horror", English,2021,Qtr 2,June,24,641308,61,Cranston Academy: Monster Zone
12000000,AU,"Adventure, Science Fiction, Family", English,2014,Qtr 4,December,1,39296,55,Dinosaur Island
103000000,AU,"Adventure, Science Fiction, Family, Fantasy", English,2018,Qtr 1,March,29,133214549,51,A Wrinkle in Time
104800000,AU,"Adventure, Science Fiction, Western", English,1973,Qtr 4,November,21,316773344.4,68,Westworld
132000000,AU,"Adventure, Thriller, Science Fiction", English,2005,Qtr 2,June,29,606836535,65,War of the Worlds
90000000,AU,"Adventure, War, History, Action", English,2004,Qtr 3,July,15,203653524,63,King Arthur
111000000,AU,Animation, English,2012,Qtr 1,February,17,602209262.4,71,Pixie Hollow Bake Off
92200000,AU,Animation, English,2017,Qtr 3,September,10,355010205.6,62,Barbie in Princess Power
111000000,AU,Animation, English,2021,Qtr 1,March,27,602209262.4,71,Barbie & Chelsea: The Lost Birthday
123600000,AU,Animation, English,2022,Qtr 1,January,27,590203752.2,73,Koati
123600000,AU,Animation, English,2022,Qtr 3,July,17,590203752.2,73,Barbie: Mermaid Power
1065504.6,AU,Animation, Japanese,2010,Qtr 2,April,20,18434328,75,Summer Wars
89600000,AU,"Animation, Action, Adventure, Comedy", Japanese,2023,Qtr 1,January,27,367393887.6,60,Lupin The 3rd vs. Cat’s Eye
100000000,AU,"Animation, Action, Adventure, Comedy, Family", English,2020,Qtr 1,January,1,165124093,77,Spies in Disguise
22000000,AU,"Animation, Action, Adventure, Comedy, Family, Science Fiction", English,2018,Qtr 3,September,7,283819551.8,70,Next Gen
45000000,AU,"Animation, Action, Adventure, Comedy, Family, Western", English,2022,Qtr 3,September,22,40166138,68,Paws of Fury: The Legend of Hank
70000000,AU,"Animation, Action, Adventure, Crime, Comedy, Family", English,2022,Qtr 1,March,31,250659286,77,The Bad Guys
95400000,AU,"Animation, Action, Adventure, Crime, Fantasy", English,2021,Qtr 1,March,1,639169981.4,69,Batman: Soul of the Dragon
145000000,AU,"Animation, Action, Adventure, Family", English,2014,Qtr 3,September,11,448191819,57,Tarzan
200000000,AU,"Animation, Action, Adventure, Family, Science Fiction", English,2022,Qtr 2,June,16,218768299,71,Lightyear
12000000,AU,"Animation, Action, Adventure, Fantasy", Japanese,2018,Qtr 3,September,14,31478826,79,My Hero Academia: Two Heroes
122000000,AU,"Animation, Action, Adventure, Fantasy, Science Fiction", Japanese,2005,Qtr 3,July,14,422965060,71,Final Fantasy VII: Advent Children
15800000,AU,"Animation, Action, Adventure, Fantasy, Thriller", Japanese,2021,Qtr 1,February,25,503063688,83,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
2000000,AU,"Animation, Action, Adventure, History, Drama, Fantasy", Japanese,2021,Qtr 2,April,8,3607899,72,Fate/Grand Order the Movie: Divine Realm of the Round Table: Camelot Wandering; Agateram
102000000,AU,"Animation, Action, Adventure, History, Drama, Fantasy", Japanese,2021,Qtr 3,August,26,441454936.4,58,Fate/Grand Order the Movie: Divine Realm Of The Round Table: Camelot Paladin; Agateram
27164600,AU,"Animation, Action, Adventure, Science Fiction", Japanese,2021,Qtr 4,October,28,38410729,76,My Hero Academia: World Heroes' Mission
75000000,AU,"Animation, Action, Comedy, Family", English,2004,Qtr 3,September,20,371741123,60,Shark Tale
80000000,AU,"Animation, Action, Comedy, Family", English,2017,Qtr 1,March,30,310563096,72,The Lego Batman Movie
130000000,AU,"Animation, Action, Comedy, Family, Science Fiction", English,2010,Qtr 4,December,3,321887208,69,Megamind
156000000,AU,"Animation, Action, Crime", English,1998,Qtr 1,March,17,530112259.6,70,Batman & Mr. Freeze: SubZero
100000000,AU,"Animation, Action, Crime", English,2022,Qtr 1,February,7,531753560.8,60,Catwoman: Hunted
50900000,AU,"Animation, Action, Crime, Mystery, Romance, Thriller", Japanese,2021,Qtr 2,May,13,95580715,68,Detective Conan: The Scarlet Bullet
10000000,AU,"Animation, Action, Family", English,2002,Qtr 3,September,30,11411644,66,The Powerpuff Girls Movie
129000000,AU,"Animation, Action, Family", English,2019,Qtr 2,May,17,545992467,72,Batman vs Teenage Mutant Ninja Turtles
90000000,AU,"Animation, Action, Family, Comedy, Science Fiction", English,2022,Qtr 3,September,3,203000000,74,DC League of Super-Pets
65000000,AU,"Animation, Action, Family, Science Fiction", English,2009,Qtr 4,October,15,41636243,63,Astro Boy
135600000,AU,"Animation, Action, Fantasy", Chinese,2021,Qtr 1,February,18,291339353.2,81,New Gods: Nezha Reborn
20000000,AU,"Animation, Action, Fantasy", Chinese,2021,Qtr 2,April,15,248318985.2,71,The Monkey King: Reborn
61140000,AU,"Animation, Action, Fantasy", English,2017,Qtr 1,March,6,611503763.4,73,Justice League Dark
152800000,AU,"Animation, Action, Fantasy", English,2020,Qtr 2,May,20,679406442.6,82,Mortal Kombat Legends: Scorpion's Revenge
155000000,AU,"Animation, Action, Fantasy", English,2021,Qtr 3,August,23,851049145.4,76,The Witcher: Nightmare of the Wolf
116000000,AU,"Animation, Action, Fantasy", English,2021,Qtr 3,August,30,788968355.6,78,Mortal Kombat Legends: Battle of the Realms
121600000,AU,"Animation, Action, Fantasy", English,2022,Qtr 4,October,9,796809611.2,79,Mortal Kombat Legends: Snow Blind
21835777,AU,"Animation, Action, Fantasy", Japanese,2022,Qtr 1,March,17,195870885,82,Jujutsu Kaisen 0
21911000,AU,"Animation, Action, Fantasy, Adventure", Japanese,2020,Qtr 1,March,12,29900850,82,My Hero Academia: Heroes Rising
135000000,AU,"Animation, Action, Fantasy, Horror", Japanese,1994,Qtr 1,March,24,636925578.2,67,Wicked City
5387948,AU,"Animation, Action, Fantasy, Science Fiction", Japanese,2006,Qtr 1,March,24,23500000,74,Dragon Ball Z: Fusion Reborn
20011197,AU,"Animation, Action, Fantasy, Science Fiction", Japanese,2021,Qtr 4,December,9,14037060,80,Sword Art Online the Movie -Progressive- Aria of a Starless Night
170400000,AU,"Animation, Action, Fantasy, Science Fiction", Japanese,2023,Qtr 1,February,2,579374543.2,66,Sword Art Online the Movie -Progressive- Scherzo of Deep Night
127400000,AU,"Animation, Action, Horror, Fantasy", Japanese,1994,Qtr 4,October,6,439839810.4,61,Urotsukidōji: Legend of the Overfiend
4473585.6,AU,"Animation, Action, Science Fiction", English,2012,Qtr 3,August,28,193425,59,Starship Troopers: Invasion
150600000,AU,"Animation, Action, Science Fiction", English,2019,Qtr 2,April,24,343946197.6,68,Justice League vs. the Fatal Five
160600000,AU,"Animation, Action, Science Fiction", English,2020,Qtr 2,June,1,973340661.4,83,Justice League Dark: Apokolips War
113600000,AU,"Animation, Action, Science Fiction", English,2020,Qtr 3,September,23,415545322,72,Superman: Man of Tomorrow
59500000,AU,"Animation, Action, Science Fiction", English,2022,Qtr 3,July,26,444807535.4,70,Green Lantern: Beware My Power
75600000,AU,"Animation, Action, Science Fiction", Japanese,2010,Qtr 2,May,27,454911144.6,75,Redline
20950000,AU,"Animation, Action, Science Fiction", Japanese,2013,Qtr 3,September,19,50461371,68,Dragon Ball Z: Battle of Gods
87000000,AU,"Animation, Action, Science Fiction", Japanese,2018,Qtr 2,May,14,322504884.2,58,Batman Ninja
59500000,AU,"Animation, Action, Science Fiction", Japanese,2019,Qtr 4,October,24,444807535.4,70,Promare
8500000,AU,"Animation, Action, Science Fiction, Adventure", English,2008,Qtr 3,August,14,68695443,61,Star Wars: The Clone Wars
103000000,AU,"Animation, Action, Science Fiction, Adventure, Fantasy", English,2009,Qtr 1,January,27,491289863.4,71,Hulk vs. Wolverine
961023.8,AU,"Animation, Action, Science Fiction, Drama", Japanese,2022,Qtr 4,October,13,92300000,83,Evangelion: 3.0+1.0 Thrice Upon a Time
75000000,AU,"Animation, Action, Science Fiction, Family, Adventure", English,2000,Qtr 3,July,27,36751979,66,Titan A.E.
80800000,AU,"Animation, Action, Thriller, Science Fiction", Japanese,2008,Qtr 3,July,11,522718277.8,65,Appleseed: Ex Machina
147860000,AU,"Animation, Adventure, Action, Comedy", Japanese,2014,Qtr 2,June,21,617601128,75,Lupin the Third: Jigen's Gravestone
8705000,AU,"Animation, Adventure, Action, Fantasy", Japanese,2022,Qtr 4,November,3,150797338,75,One Piece Film Red
174000000,AU,"Animation, Adventure, Comedy", English,2005,Qtr 4,October,1,613598751.2,73,Scooby-Doo! and the Cyber Chase
73000000,AU,"Animation, Adventure, Comedy", English,2016,Qtr 2,May,12,352288341,62,The Angry Birds Movie
75000000,AU,"Animation, Adventure, Comedy", English,2021,Qtr 2,April,30,61375836.8,80,The Mitchells vs. the Machines
2000000,AU,"Animation, Adventure, Comedy", German,2021,Qtr 2,June,24,6666618,64,Moonbound
70000000,AU,"Animation, Adventure, Comedy, Family", English,2006,Qtr 2,June,8,461630558,69,Cars
90000000,AU,"Animation, Adventure, Comedy, Family", English,2011,Qtr 2,April,7,487519809,67,Rio
167840000,AU,"Animation, Adventure, Comedy, Family", English,2013,Qtr 3,July,25,422257723.8,59,Dino Time
30000000,AU,"Animation, Adventure, Comedy, Family", English,2017,Qtr 1,January,12,96589789,72,Ballerina
175000000,AU,"Animation, Adventure, Comedy, Family", English,2017,Qtr 2,June,22,383541369,69,Cars 3
119200000,AU,"Animation, Adventure, Comedy, Family", English,2021,Qtr 2,April,1,379074781.8,76,Two by Two: Overboard!
185000000,AU,"Animation, Adventure, Comedy, Family, Action, Fantasy", English,2012,Qtr 2,June,21,554606532,70,Brave
50000000,AU,"Animation, Adventure, Comedy, Family, Fantasy", English,2014,Qtr 4,November,26,97651543,75,The Book of Life
17000000,AU,"Animation, Adventure, Comedy, Family, Fantasy", English,2023,Qtr 1,January,12,3901839,70,The Amazing Maurice
119200000,AU,"Animation, Adventure, Comedy, Family, Fantasy"," Spanish, Castilian",2022,Qtr 4,December,8,379074781.8,76,"Tad, the Lost Explorer and the Emerald Tablet"
9330400,AU,"Animation, Adventure, Comedy, Family, Fantasy, Horror", English,2022,Qtr 1,January,6,119815153,71,The Addams Family 2
20000000,AU,"Animation, Adventure, Comedy, Family, Fantasy, Music", English,2018,Qtr 4,November,1,8751856,65,Charming
147000000,AU,"Animation, Adventure, Comedy, Fantasy", English,2022,Qtr 3,August,5,721203091.4,79,Luck
38000000,AU,"Animation, Adventure, Comedy, Music", English,2022,Qtr 2,May,26,34148750,70,The Bob's Burgers Movie
132500000,AU,"Animation, Adventure, Drama, Fantasy", Japanese,2004,Qtr 2,June,1,829740878,68,Escaflowne: The Movie
25000000,AU,"Animation, Adventure, Family", English,1986,Qtr 2,May,8,21288692,65,The Black Cauldron
145000000,AU,"Animation, Adventure, Family", English,2014,Qtr 1,March,27,269806430,67,Mr. Peabody & Sherman
55000000,AU,"Animation, Adventure, Family", English,2016,Qtr 3,August,18,77548122,76,Kubo and the Two Strings
50000000,AU,"Animation, Adventure, Family", English,2018,Qtr 1,February,22,346727372,67,Peter Rabbit
111800000,AU,"Animation, Adventure, Family", Russian,2022,Qtr 2,June,23,589285934.8,65,My Sweet Monster
30000000,AU,"Animation, Adventure, Family, Comedy", English,1995,Qtr 4,December,7,365270951,80,Toy Story
144000000,AU,"Animation, Adventure, Family, Comedy", English,2000,Qtr 4,November,1,317848249,64,The Little Mermaid II: Return to the Sea
60000000,AU,"Animation, Adventure, Family, Comedy", English,2012,Qtr 1,March,12,123054041,64,The Pirates! In an Adventure with Scientists!
150000000,AU,"Animation, Adventure, Family, Comedy", English,2016,Qtr 1,March,17,1002462578,77,Zootopia
89013252,AU,"Animation, Adventure, Family, Comedy, Music", English,2021,Qtr 2,May,28,12127842,67,Trouble
145400000,AU,"Animation, Adventure, Family, Fantasy", English,2010,Qtr 3,September,15,524420200.6,67,Tinker Bell and the Great Fairy Rescue
100000000,AU,"Animation, Adventure, Family, Fantasy", English,2010,Qtr 3,September,24,139716717,68,Legend of the Guardians: The Owls of Ga'Hoole
100000000,AU,"Animation, Adventure, Family, Fantasy", English,2013,Qtr 2,June,13,262794441,65,Epic
31389400,AU,"Animation, Adventure, Family, Fantasy", English,2021,Qtr 4,November,11,1965219,71,Welcome to Smelliville
116200000,AU,"Animation, Adventure, Family, Fantasy", English,2022,Qtr 3,July,8,649271677.4,75,The Sea Beast
82600000,AU,"Animation, Adventure, Family, Fantasy", English,2023,Qtr 1,March,17,473097256.6,73,The Magician's Elephant
100000000,AU,"Animation, Adventure, Family, Fantasy, Comedy", English,2023,Qtr 2,April,5,724459031,76,The Super Mario Bros. Movie
135000000,AU,"Animation, Adventure, Family, Fantasy, Comedy, Action", English,2013,Qtr 1,March,28,573068425,69,The Croods
30000000,AU,"Animation, Adventure, Family, Western", English,2021,Qtr 2,June,12,42235744,73,Spirit Untamed
58100000,AU,"Animation, Adventure, Fantasy, Comedy, Family", French,2022,Qtr 2,June,2,6813652,67,Pil's Adventures
20311197,AU,"Animation, Adventure, Fantasy, Mystery", Japanese,2020,Qtr 4,October,8,4971635,80,Made in Abyss: Dawn of the Deep Soul
21000000,AU,"Animation, Comedy", English,1999,Qtr 3,July,15,52037603,72,"South Park: Bigger, Longer & Uncut"
49171600,AU,"Animation, Comedy", English,2022,Qtr 2,June,1,305196571.6,73,South Park the Streaming Wars
83400000,AU,"Animation, Comedy", English,2022,Qtr 3,July,8,191964060.4,63,The Wonderful Summer of Mickey Mouse
101400000,AU,"Animation, Comedy, Action, Family", English,2018,Qtr 1,January,10,365247355.4,74,Scooby-Doo! & Batman: The Brave and the Bold
95000000,AU,"Animation, Comedy, Adventure, Family", English,2012,Qtr 2,June,28,879765137,63,Ice Age: Continental Drift
50000000,AU,"Animation, Comedy, Adventure, Family", English,2014,Qtr 3,September,18,151165787,61,Planes: Fire & Rescue
65000000,AU,"Animation, Comedy, Adventure, Family", English,2019,Qtr 3,September,12,152255188,71,The Angry Birds Movie 2
82000000,AU,"Animation, Comedy, Adventure, Family", English,2021,Qtr 4,November,25,146281732,75,The Boss Baby: Family Business
143000000,AU,"Animation, Comedy, Adventure, Family", English,2022,Qtr 1,March,25,508164908,67,The Ice Age Adventures of Buck Wild
30000000,AU,"Animation, Comedy, Adventure, Family", French,2015,Qtr 1,January,16,42830578,68,Asterix: The Mansions of the Gods
10500000,AU,"Animation, Comedy, Adventure, Family"," Spanish, Castilian",2013,Qtr 3,August,10,23000000,62,"Tad, the Lost Explorer"
97400000,AU,"Animation, Comedy, Adventure, Family"," Spanish, Castilian",2021,Qtr 4,October,14,706693307.8,68,Dogtanian and the Three Muskehounds
29215333.2,AU,"Animation, Comedy, Adventure, Family"," Spanish, Castilian",2022,Qtr 4,December,1,3500000,79,An Egg Rescue
61424639.8,AU,"Animation, Comedy, Adventure, Family", Ukrainian,2019,Qtr 4,December,25,6914017,68,The Stolen Princess
40000000,AU,"Animation, Comedy, Adventure, Family, Science Fiction", English,2013,Qtr 1,March,28,74597643,57,Escape from Planet Earth
76800000,AU,"Animation, Comedy, Drama", Japanese,2022,Qtr 2,May,19,576499338.6,68,Pompo the Cinephile
31000000,AU,"Animation, Comedy, Family", English,1989,Qtr 4,December,14,74151346,67,Oliver & Company
109000000,AU,"Animation, Comedy, Family", English,1994,Qtr 3,August,2,662171130.6,77,The Wrong Trousers
90000000,AU,"Animation, Comedy, Family", English,1999,Qtr 4,December,2,511358276,76,Toy Story 2
42000000,AU,"Animation, Comedy, Family", English,2000,Qtr 4,December,7,227793915,67,Chicken Run
17300,AU,"Animation, Comedy, Family", English,2001,Qtr 2,June,4,57635198.8,75,A Grand Day Out
115000000,AU,"Animation, Comedy, Family", English,2001,Qtr 4,December,26,560483719,78,"Monsters, Inc."
50000000,AU,"Animation, Comedy, Family", English,2004,Qtr 3,September,16,200804534,57,Garfield
